cartodb_id,the_geom,number,borough,eachdate
349,,39,MANHATTAN,2010-04-01
350,,16,BROOKLYN,2010-04-01
351,,13,BRONX,2010-04-01
352,,15,QUEENS,2010-04-01
353,,40,MANHATTAN,2010-04-02
354,,25,QUEENS,2010-04-02
355,,1,STATEN ISLAND,2010-04-02
356,,8,BROOKLYN,2010-04-02
357,,16,BRONX,2010-04-02
358,,1,BROOKLYN,2010-04-03
359,,8,QUEENS,2010-04-03
360,,3,MANHATTAN,2010-04-04
361,,1,QUEENS,2010-04-04
362,,17,BROOKLYN,2010-04-05
363,,16,BRONX,2010-04-05
364,,2,STATEN ISLAND,2010-04-05
365,,11,QUEENS,2010-04-05
366,,6,MANHATTAN,2010-04-05
367,,10,BRONX,2010-04-06
368,,20,BROOKLYN,2010-04-06
369,,37,MANHATTAN,2010-04-06
370,,27,QUEENS,2010-04-06
371,,6,STATEN ISLAND,2010-04-07
372,,29,BRONX,2010-04-07
373,,43,QUEENS,2010-04-07
374,,37,BROOKLYN,2010-04-07
375,,52,MANHATTAN,2010-04-07
376,,60,BRONX,2010-04-08
377,,6,STATEN ISLAND,2010-04-08
378,,39,QUEENS,2010-04-08
379,,18,BROOKLYN,2010-04-08
380,,15,MANHATTAN,2010-04-08
381,,23,BROOKLYN,2010-04-09
382,,55,QUEENS,2010-04-09
383,,44,BRONX,2010-04-09
384,,14,MANHATTAN,2010-04-09
385,,3,STATEN ISLAND,2010-04-09
386,,6,BROOKLYN,2010-04-10
387,,6,QUEENS,2010-04-10
388,,1,BROOKLYN,2010-04-11
389,,2,QUEENS,2010-04-11
390,,2,BRONX,2010-04-11
391,,9,MANHATTAN,2010-04-11
392,,60,MANHATTAN,2010-04-12
393,,19,BRONX,2010-04-12
394,,21,QUEENS,2010-04-12
395,,18,BROOKLYN,2010-04-12
396,,32,QUEENS,2010-04-13
397,,31,MANHATTAN,2010-04-13
398,,50,BROOKLYN,2010-04-13
399,,1,STATEN ISLAND,2010-04-13
400,,47,BRONX,2010-04-13
401,,39,BRONX,2010-04-14
402,,23,QUEENS,2010-04-14
403,,34,BROOKLYN,2010-04-14
404,,21,MANHATTAN,2010-04-14
405,,3,STATEN ISLAND,2010-04-15
406,,18,QUEENS,2010-04-15
407,,39,BROOKLYN,2010-04-15
408,,35,MANHATTAN,2010-04-15
409,,29,BRONX,2010-04-15
410,,6,QUEENS,2010-04-16
411,,31,BRONX,2010-04-16
412,,28,MANHATTAN,2010-04-16
413,,26,BROOKLYN,2010-04-16
414,,1,BRONX,2010-04-17
415,,2,QUEENS,2010-04-17
416,,1,Unspecified,2010-04-17
417,,9,BROOKLYN,2010-04-17
418,,1,BROOKLYN,2010-04-18
419,,1,QUEENS,2010-04-18
420,,10,BRONX,2010-04-18
421,,1,STATEN ISLAND,2010-04-18
422,,22,BRONX,2010-04-19
423,,12,QUEENS,2010-04-19
424,,2,STATEN ISLAND,2010-04-19
425,,21,BROOKLYN,2010-04-19
426,,13,MANHATTAN,2010-04-19
427,,2,STATEN ISLAND,2010-04-20
428,,25,QUEENS,2010-04-20
429,,14,MANHATTAN,2010-04-20
430,,24,BRONX,2010-04-20
431,,32,BROOKLYN,2010-04-20
432,,78,BRONX,2010-04-21
433,,38,BROOKLYN,2010-04-21
434,,1,STATEN ISLAND,2010-04-21
435,,17,QUEENS,2010-04-21
436,,24,MANHATTAN,2010-04-21
437,,68,BROOKLYN,2010-04-22
438,,32,QUEENS,2010-04-22
439,,1,STATEN ISLAND,2010-04-22
440,,54,BRONX,2010-04-22
441,,20,MANHATTAN,2010-04-22
442,,11,QUEENS,2010-04-23
443,,34,MANHATTAN,2010-04-23
444,,20,BRONX,2010-04-23
445,,3,STATEN ISLAND,2010-04-23
446,,22,BROOKLYN,2010-04-23
447,,3,BRONX,2010-04-24
448,,5,QUEENS,2010-04-24
449,,8,BROOKLYN,2010-04-24
450,,4,MANHATTAN,2010-04-24
451,,6,QUEENS,2010-04-25
452,,2,MANHATTAN,2010-04-25
453,,1,BRONX,2010-04-25
454,,11,BROOKLYN,2010-04-26
455,,27,MANHATTAN,2010-04-26
456,,9,QUEENS,2010-04-26
457,,29,BRONX,2010-04-26
458,,12,QUEENS,2010-04-27
459,,40,MANHATTAN,2010-04-27
460,,33,BRONX,2010-04-27
461,,19,BROOKLYN,2010-04-27
462,,140,MANHATTAN,2010-04-28
463,,14,QUEENS,2010-04-28
464,,82,BRONX,2010-04-28
465,,19,BROOKLYN,2010-04-28
466,,1,STATEN ISLAND,2010-04-29
467,,14,QUEENS,2010-04-29
468,,19,BROOKLYN,2010-04-29
469,,21,BRONX,2010-04-29
470,,47,MANHATTAN,2010-04-29
471,,15,BROOKLYN,2010-04-30
472,,31,BRONX,2010-04-30
473,,14,MANHATTAN,2010-04-30
474,,7,QUEENS,2010-04-30
475,,1,STATEN ISLAND,2010-05-01
476,,2,BROOKLYN,2010-05-01
477,,3,MANHATTAN,2010-05-01
478,,6,QUEENS,2010-05-01
479,,2,BROOKLYN,2010-05-02
480,,4,BRONX,2010-05-02
481,,3,QUEENS,2010-05-02
482,,20,MANHATTAN,2010-05-03
483,,10,QUEENS,2010-05-03
484,,35,BRONX,2010-05-03
485,,29,BROOKLYN,2010-05-03
486,,14,QUEENS,2010-05-04
487,,26,MANHATTAN,2010-05-04
488,,51,BRONX,2010-05-04
489,,22,BROOKLYN,2010-05-04
490,,2,STATEN ISLAND,2010-05-05
491,,71,BRONX,2010-05-05
492,,20,QUEENS,2010-05-05
493,,25,MANHATTAN,2010-05-05
494,,27,BROOKLYN,2010-05-05
